package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
appcenter,0,0,681,0,0,147,0,681,0.0,LANGUAGE <LL@li.org>
audience,0,0,106,0,0,48,0,106,0.0,
gnomebaker,0,0,1186,0,0,291,0,1186,0.0,"Sotho, Southern <st@li.org>"
gtkspell3,8,2,6,4,1,2,11,16,50.0,Sotho <info@mosekolatranslation.co.za>
isomaster,6,0,668,6,0,101,6,674,0.8902077151335311,http://littlesvr.ca/ostd/
libreoffice,32255,11112,57538,9391,5357,16741,42998,100905,31.96571032158961,LANGUAGE <LL@li.org>
maya-calendar,0,0,394,0,0,164,0,394,0.0,LANGUAGE <LL@li.org>
mingw-gtkspell3,8,2,6,4,1,2,11,16,50.0,Sotho <info@mosekolatranslation.co.za>
noise,0,0,1322,0,0,377,0,1322,0.0,LANGUAGE <LL@li.org>
olpc-switch-desktop,0,0,158,0,0,14,0,158,0.0,LANGUAGE <LL@li.org>
pantheon-agent-polkit,0,0,15,0,0,8,0,15,0.0,LANGUAGE <LL@li.org>
pantheon-calculator,0,0,52,0,0,32,0,52,0.0,LANGUAGE <LL@li.org>
pantheon-files,0,0,2487,0,0,492,0,2487,0.0,LANGUAGE <LL@li.org>
pantheon-photos,0,0,3977,0,0,856,0,3977,0.0,LANGUAGE <LL@li.org>
scratch-text-editor,0,0,681,0,0,198,0,681,0.0,LANGUAGE <LL@li.org>
screenshot-tool,0,0,146,0,0,44,0,146,0.0,LANGUAGE <LL@li.org>
sugar,0,1,1624,0,1,397,0,1625,0.0,LANGUAGE <LL@li.org>
sugar-abacus,0,0,34,0,0,25,0,34,0.0,LANGUAGE <LL@li.org>
sugar-browse,0,0,189,0,0,52,0,189,0.0,LANGUAGE <LL@li.org>
sugar-calendario,0,0,43,0,0,27,0,43,0.0,LANGUAGE <LL@li.org>
sugar-clock,0,0,66,0,0,21,0,66,0.0,LANGUAGE <LL@li.org>
sugar-deducto,0,0,109,0,0,23,0,109,0.0,LANGUAGE <LL@li.org>
sugar-finance,0,0,189,0,0,40,0,189,0.0,LANGUAGE <LL@li.org>
sugar-fototoon,0,0,77,0,0,33,0,77,0.0,LANGUAGE <LL@li.org>
sugar-fractionbounce,0,0,68,0,0,23,0,68,0.0,LANGUAGE <LL@li.org>
sugar-getiabooks,0,0,119,0,0,33,0,119,0.0,LANGUAGE <LL@li.org>
sugar-implode,0,0,78,0,0,21,0,78,0.0,LANGUAGE <LL@li.org>
sugar-infoslicer,0,0,236,0,0,62,0,236,0.0,LANGUAGE <LL@li.org>
sugar-labyrinth,0,0,281,0,0,94,0,281,0.0,LANGUAGE <LL@li.org>
sugar-maze,0,0,7,0,0,4,0,7,0.0,LANGUAGE <LL@li.org>
sugar-memorize,0,0,142,0,0,74,0,142,0.0,LANGUAGE <LL@li.org>
sugar-moon,0,0,117,0,0,33,0,117,0.0,LANGUAGE <LL@li.org>
sugar-paint,0,0,90,0,0,52,0,90,0.0,LANGUAGE <LL@li.org>
sugar-physics,0,0,48,0,0,28,0,48,0.0,LANGUAGE <LL@li.org>
sugar-record,0,0,62,0,0,24,0,62,0.0,LANGUAGE <LL@li.org>
sugar-ruler,0,0,29,0,0,8,0,29,0.0,LANGUAGE <LL@li.org>
sugar-speak,0,0,227,0,0,74,0,227,0.0,LANGUAGE <LL@li.org>
sugar-typing-turtle,0,0,599,0,0,127,0,599,0.0,LANGUAGE <LL@li.org>
sugar-visualmatch,0,0,158,0,0,78,0,158,0.0,LANGUAGE <LL@li.org>
sugar-words,0,0,3,0,0,3,0,3,0.0,LANGUAGE <LL@li.org>
switchboard,0,0,41,0,0,13,0,41,0.0,LANGUAGE <LL@li.org>
switchboard-plug-a11y,0,0,210,0,0,79,0,210,0.0,LANGUAGE <LL@li.org>
switchboard-plug-about,0,0,72,0,0,22,0,72,0.0,LANGUAGE <LL@li.org>
switchboard-plug-display,0,0,33,0,0,15,0,33,0.0,LANGUAGE <LL@li.org>
switchboard-plug-pantheon-shell,0,0,132,0,0,51,0,132,0.0,
switchboard-plug-printers,0,0,288,0,0,117,0,288,0.0,LANGUAGE <LL@li.org>
virtaal,1302,0,32,402,0,4,1726,1334,97.60119940029985,translate-discuss-st@lists.sourceforge.net
vocal,0,0,377,0,0,79,0,377,0.0,"Sotho, Southern <st@li.org>"
