package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
0ad,212,0,0,44,0,0,202,212,100.0,Slovak (http://www.transifex.com/wildfire-games/0ad/language/sk/)
GConf2,3957,0,47,461,0,16,3742,4004,98.82617382617383,Slovak <sk-i18n@lists.linux.sk>
LabPlot,742,1321,4925,485,482,1117,731,6988,10.61820263308529,Slovak <kde-sk@linux.sk>
NetworkManager,584,983,19830,123,250,1536,611,21397,2.729354582418096,Slovak <sk-i18n@lists.linux.sk>
NetworkManager-openvpn,14,60,975,5,26,138,14,1049,1.334604385128694,Slovak <sk-i18n@lists.linux.sk>
NetworkManager-ssh,2,21,263,1,11,57,2,286,0.6993006993006993,Slovak <sk-i18n@lists.linux.sk>
NetworkManager-vpnc,143,4,9,37,1,3,154,156,91.66666666666666,Slovak <gnome-sk-list@gnome.org>
ORBit,8,0,0,2,0,0,8,8,100.0,Slovak <sk-i18n@rak.isternet.sk>
PackageKit,1249,0,29,315,0,5,1249,1278,97.73082942097027,Slovak (http://www.transifex.com/freedesktop/packagekit/language/sk/)
Thunar,4201,0,0,739,0,0,3970,4201,100.0,Slovak (https://www.transifex.com/xfce/teams/16840/sk/)
WindowMaker,4991,0,25,958,0,21,4491,5016,99.50159489633174,Slovak <sk@li.org>
Zim,1125,0,1690,389,0,301,1096,2815,39.96447602131439,Slovak <sk-i18n@lists.linux.sk>
abrt,2295,0,1674,301,0,175,2229,3969,57.82312925170068,Slovak (http://www.transifex.com/projects/p/fedora-abrt/language/sk/)
accerciser,642,0,17,223,0,1,636,659,97.42033383915023,Slovak <gnome-sk-list@gnome.org>
accountsservice,59,0,0,10,0,0,61,59,100.0,Slovak (http://www.transifex.com/projects/p/freedesktop/language/sk/)
ailurus,5340,0,2559,854,0,337,4932,7899,67.60349411317888,none
aisleriot,3075,0,0,679,0,0,2444,3075,100.0,slovenčina <>
akonadi-calendar-tools,813,15,14,169,2,2,795,842,96.55581947743468,Slovak <kde-sk@linux.sk>
akonadi-import-wizard,362,29,0,77,6,0,326,391,92.58312020460357,Slovak <kde-sk@linux.sk>
akregator,1702,63,9,416,10,5,1610,1774,95.94137542277339,Slovak <kde-sk@linux.sk>
alacarte,45,0,0,20,0,0,41,45,100.0,Slovak <sk-i18n@lists.linux.sk>
alexandria,1149,14,18,294,7,5,1066,1181,97.2904318374259,Slovak <sk@li.org>
alleyoop,351,0,0,92,0,0,335,351,100.0,Slovak <gnome-sk-list@gnome.org>
amarok,15696,41,82,2777,1,2,15510,15819,99.22245401099943,Slovak <kde-sk@linux.sk>
anaconda,7551,0,0,1255,0,0,7090,7551,100.0,Slovak (http://www.transifex.com/projects/p/anaconda/language/sk/)
analitza,988,0,0,221,0,0,862,988,100.0,Slovak <kde-sk@linux.sk>
anjuta,8401,0,0,2061,0,0,8295,8401,100.0,slovenčina <>
appcenter,765,0,0,181,0,0,759,765,100.0,Slovak <https://weblate.elementary.io/projects/appcenter/appcenter/sk/>
appstream,853,0,38,191,0,4,842,891,95.7351290684624,Slovak <https://hosted.weblate.org/projects/appstream/translations/sk/>
arandr,172,0,1,37,0,1,157,173,99.42196531791907,Slovak <nomail>
arduino,3093,0,0,590,0,0,2986,3093,100.0,Slovak (http://www.transifex.com/mbanzi/arduino-ide-15/language/sk/)
aria2,125,0,7361,18,0,381,117,7486,1.6697835960459526,Slovak <sk@li.org>
ark,1812,23,15,330,4,1,1625,1850,97.94594594594595,Slovak <kde-sk@linux.sk>
arm-none-eabi-binutils-cs,7582,0,0,1106,0,0,7268,7582,100.0,Slovak <sk-i18n@lists.linux.sk>
artikulate,436,0,0,156,0,0,407,436,100.0,Slovak <kde-sk@linux.sk>
aspell,1726,0,0,293,0,0,1517,1726,100.0,Slovak <sk-i18n@lists.linux.sk>
asunder,429,27,39,78,3,10,427,495,86.66666666666667,slovenčina <slovenska-lokalizacia-xfce@googlegroups.com>
at-spi2-core,10,0,0,2,0,0,11,10,100.0,Slovak <gnome-sk-list@gnome.org>
atk,440,0,0,169,0,0,415,440,100.0,Slovak <gnome-sk-list@gnome.org>
atomix,156,0,0,50,0,0,157,156,100.0,Slovak <sk-i18n@lists.linux.sk>
