package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
bookworm,0,0,795,0,0,149,0,795,0.0,
coin,0,0,252,0,0,50,0,252,0.0,none
dippi,0,0,397,0,0,53,0,397,0.0,none
elementary-capnet-assist,0,0,81,0,0,14,0,81,0.0,none
elementary-code,0,0,1608,0,0,307,0,1608,0.0,LANGUAGE <LL@li.org>
elementary-files,0,0,3513,0,0,649,0,3513,0.0,LANGUAGE <LL@li.org>
elementary-greeter,0,0,200,0,0,45,0,200,0.0,
elementary-icon-theme,0,0,263,0,0,72,0,263,0.0,none
elementary-mail,0,0,658,0,0,153,0,658,0.0,
elementary-music,0,0,1205,0,0,354,0,1205,0.0,LANGUAGE <LL@li.org>
elementary-notifications,0,0,36,0,0,10,0,36,0.0,none
elementary-photos,0,0,4011,0,0,818,0,4011,0.0,LANGUAGE <LL@li.org>
elementary-screenshot-tool,0,0,248,0,0,60,0,248,0.0,LANGUAGE <LL@li.org>
elementary-settings-daemon,0,0,26,0,0,4,0,26,0.0,none
elementary-shortcut-overlay,0,0,130,0,0,45,0,130,0.0,none
elementary-sideload,0,0,319,0,0,61,0,319,0.0,none
elementary-tasks,0,0,364,0,0,77,0,364,0.0,none
elementary-terminal,0,0,643,0,0,117,0,643,0.0,
elementary-theme,0,0,63,0,0,10,0,63,0.0,none
elementary-videos,0,0,391,0,0,96,0,391,0.0,
gala,0,0,358,0,0,73,0,358,0.0,none
granite,0,0,498,0,0,118,0,498,0.0,
harvey,0,0,182,0,0,33,0,182,0.0,none
notification-daemon,17,0,0,7,0,0,17,17,100.0,Quechua (Cuzco-Collao)
nutty,0,0,608,0,0,152,0,608,0.0,
olpc-switch-desktop,158,0,0,14,0,0,91,158,100.0,LANGUAGE <LL@li.org>
optimizer,0,0,282,0,0,75,0,282,0.0,none
pantheon-agent-geoclue2,0,0,101,0,0,18,0,101,0.0,LANGUAGE <LL@li.org>
pantheon-agent-polkit,0,0,56,0,0,16,0,56,0.0,LANGUAGE <LL@li.org>
sugar,2208,3,94,505,2,22,2142,2305,95.79175704989153,LANGUAGE <LL@li.org>
sugar-abacus,22,0,6,22,0,1,29,28,78.57142857142857,Voluntarios quechuas Sugar Camp Lima
sugar-browse,167,47,120,50,2,19,142,334,50.0,Voluntarios Quechua Sugar Camp
sugar-calculator,774,0,92,156,0,13,813,866,89.37644341801386,LANGUAGE <LL@li.org>
sugar-chat,137,0,0,81,0,0,133,137,100.0,LANGUAGE <LL@li.org>
sugar-clock,59,7,0,20,1,0,48,66,89.39393939393939,LANGUAGE <LL@li.org>
sugar-distance,0,1,98,0,1,25,0,99,0.0,LANGUAGE <LL@li.org>
sugar-finance,48,86,124,22,2,39,39,258,18.6046511627907,Voluntarios quechuas Sugar Camp Lima
sugar-flipsticks,7,2,142,7,1,37,8,151,4.635761589403973,LANGUAGE <LL@li.org>
sugar-fototoon,15,3,121,11,1,36,15,139,10.79136690647482,LANGUAGE <LL@li.org>
sugar-imageviewer,16,0,42,8,0,8,16,58,27.586206896551722,LANGUAGE <LL@li.org>
sugar-implode,4,2,71,4,2,14,4,77,5.194805194805195,LANGUAGE <LL@li.org>
sugar-jukebox,65,0,4,20,0,2,57,69,94.20289855072464,LANGUAGE <LL@li.org>
sugar-log,98,0,0,21,0,0,85,98,100.0,LANGUAGE <LL@li.org>
sugar-measure,6,0,149,4,0,69,7,155,3.870967741935484,LANGUAGE <LL@li.org>
sugar-memorize,142,0,0,74,0,0,158,142,100.0,LANGUAGE <LL@li.org>
sugar-paint,90,0,16,52,0,9,98,106,84.90566037735849,LANGUAGE <LL@li.org>
