package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
GConf2,4032,0,0,481,0,0,4030,4032,100.0,Canadian English <adamw@gnome.org>
NetworkManager,6,893,10196,4,236,1374,6,11095,0.0540784136998648,Canadian English <adamw@gnome.org>
accerciser,363,0,0,166,0,0,366,363,100.0,en_CA <adamw@gnome.org>
ailurus,683,0,7823,89,0,1035,688,8506,8.029626146249706,none
aisleriot,2292,0,0,568,0,0,2294,2292,100.0,Canadian English
alacarte,42,0,0,16,0,0,42,42,100.0,Canadian English <adamw@gnome.org>
alleyoop,351,0,0,89,0,0,353,351,100.0,Canadian English <adamw@gnome.org>
anjuta,7910,0,0,1989,0,0,7907,7910,100.0,Canadian English
appcenter,278,6,397,87,2,58,293,681,40.822320117474305,English (Canada) <https://l10n.elementary.io/projects/appcenter/appcenter/en_CA/>
at-spi2-core,5,0,0,1,0,0,5,5,100.0,English
atk,370,1,4,123,1,2,361,375,98.66666666666667,Canadian English <adamw@gnome.org>
atomix,146,0,0,59,0,0,149,146,100.0,Canadian English <adamw@gnome.org>
atril,645,0,1079,191,0,206,649,1724,37.41299303944315,English (Canada) (http://www.transifex.com/mate/MATE/language/en_CA/)
audience,72,0,34,34,0,14,81,106,67.9245283018868,English (Canada) <en_CA@li.org>
avahi,1,1,866,1,1,166,1,868,0.1152073732718894,
avogadro,4316,0,2291,1774,0,598,4480,6607,65.32465566823066,English (Canada) <en_CA@li.org>
backintime,353,0,1630,99,0,237,355,1983,17.801311144730207,English (Canada) <en_CA@li.org>
bakery,72,0,0,20,0,0,72,72,100.0,Canadian English <adamw@gnome.org>
balsa,5802,0,0,1395,0,0,5805,5802,100.0,Canadian English <adamw@gnome.org>
banshee,2133,0,0,443,0,0,2135,2133,100.0,Canadian English <adamw@gnome.org>
baobab,7,62,174,5,15,43,10,243,2.880658436213992,Canadian English <adamw@gnome.org>
bleachbit,488,0,690,114,0,146,489,1178,41.42614601018676,English (Canada) <en_CA@li.org>
blueberry,24,0,117,7,0,27,24,141,17.02127659574468,English (Canada) <en_CA@li.org>
brasero,5493,0,0,971,0,0,5494,5493,100.0,English
caja,4065,0,5248,843,0,667,4075,9313,43.64866315902502,English (Canada) (http://www.transifex.com/mate/MATE/language/en_CA/)
caja-actions,1303,201,50,154,12,4,1303,1554,83.84813384813384,Canadian English <adamw@gnome.org>
calibre,1592,0,150672,205,0,17528,1605,152264,1.0455524615142122,English (Canada) (http://www.transifex.com/calibre/calibre/language/en_CA/)
camorama,586,0,0,137,0,0,594,586,100.0,Canadian English <adamw@gnome.org>
capnet-assist,27,0,5,3,0,2,27,32,84.375,English (Canada) <en_CA@li.org>
cinnamon-desktop,0,14,217,0,2,29,0,231,0.0,Canadian English <adamw@gnome.org>
cinnamon-translations,1681,0,13234,507,0,2635,1704,14915,11.270533020449212,English (Canada) <en_CA@li.org>
clamtk,464,0,0,140,0,0,467,464,100.0,English (Canada) <en_CA@li.org>
clementine,2403,0,2688,679,0,673,2403,5091,47.200942840306425,English (Canada) (http://www.transifex.com/davidsansome/clementine/language/en_CA/)
cogl,15,0,346,4,0,71,15,361,4.1551246537396125,Canadian English
compat-gtkhtml314,915,0,0,406,0,0,916,915,100.0,Canadian English <adamw@gnome.org>
control-center,3477,0,0,754,0,0,3483,3477,100.0,Canadian English <adamw@gnome.org>
dasher,443,0,0,173,0,0,446,443,100.0,Canadian English <adamw@gnome.org>
deja-dup,1177,0,834,168,0,159,1177,2011,58.52809547488812,English (Canada) <en_CA@li.org>
deluge,2645,0,83,860,0,18,2646,2728,96.9574780058651,English (Canada) <en_CA@li.org>
devhelp,456,0,0,119,0,0,463,456,100.0,Canadian English
dia,5368,140,203,1935,54,57,5394,5711,93.99404657678166,Canadian English <adamw@gnome.org>
drgeo,1985,0,0,461,0,0,1988,1985,100.0,Canadian English <adamw@gnome.org>
ekiga,5103,0,0,769,0,0,5107,5103,100.0,Canadian English <adamw@gnome.org>
empathy,4552,109,93,1082,45,13,4556,4754,95.75094657130838,Canadian English
engrampa,912,0,1028,195,0,159,921,1940,47.01030927835051,English (Canada) (http://www.transifex.com/mate/MATE/language/en_CA/)
eog,1607,0,0,323,0,0,1610,1607,100.0,Canadian English
eom,720,0,997,174,0,144,726,1717,41.933605125218406,English (Canada) (http://www.transifex.com/mate/MATE/language/en_CA/)
epiphany,2291,0,0,651,0,0,2298,2291,100.0,Canadian English
evince,1437,0,0,366,0,0,1440,1437,100.0,Canadian English
evolution,18293,69,0,4482,12,0,18272,18362,99.62422394074719,Canadian English <adamw@gnome.org>
evolution-data-server,5044,0,0,1041,0,0,5044,5044,100.0,Canadian English <adamw@gnome.org>
exaile,1205,118,2683,354,37,634,1198,4006,30.079880179730406,English (Canada) <https://hosted.weblate.org/projects/exaile/master/en_CA/>
feedreader,0,0,926,0,0,219,0,926,0.0,
file-roller,1084,0,0,253,0,0,1093,1084,100.0,Canadian English <adamw@gnome.org>
five-or-more,4224,0,0,899,0,0,4227,4224,100.0,Canadian English
four-in-a-row,4224,0,0,899,0,0,4227,4224,100.0,Canadian English
gala,646,0,37,71,0,6,647,683,94.5827232796486,English (Canada) <en_CA@li.org>
gcompris,10251,0,0,1191,0,0,10255,10251,100.0,Canadian English <adamw@gnome.org>
gconf-editor,329,0,0,98,0,0,332,329,100.0,Canadian English <adamw@gnome.org>
gcr,0,35,587,0,10,217,0,622,0.0,Canadian English <adamw@gnome.org>
gdesklets,1186,0,342,171,0,33,1192,1528,77.61780104712042,Canadian English <adamw@gnome.org>
gdk-pixbuf2,1166,131,51,175,22,5,1168,1348,86.49851632047478,Canadian English <adamw@gnome.org>
gdm,30,217,403,8,33,46,31,650,4.615384615384616,Canadian English <adamw@gnome.org>
geary,398,0,703,151,0,176,399,1101,36.14895549500454,English (Canada) (http://www.transifex.com/projects/p/geary/language/en_CA/)
gedit,4339,0,0,1028,0,0,4344,4339,100.0,Canadian English <adamw@gnome.org>
gedit-plugins,751,254,200,340,77,52,754,1205,62.32365145228216,Canadian English <adamw@gnome.org>
genius,5927,0,0,809,0,0,5914,5927,100.0,Canadian English <adamw@gnome.org>
gftp,3096,230,49,560,70,4,3097,3375,91.73333333333333,Canadian English <adamw@gnome.org>
ggz-gtk-client,7,0,0,7,0,0,7,7,100.0,Canadian English <adamw@gnome.org>
ghex,966,0,0,275,0,0,965,966,100.0,Canadian English <adamw@gnome.org>
gimp,21300,4699,1127,5406,1462,181,21292,27126,78.5224507852245,Canadian English <adamw@gnome.org>
gimp-gap,9779,0,0,1722,0,0,9815,9779,100.0,Canadian English <adamw@gnome.org>
glade,3197,0,0,868,0,0,3193,3197,100.0,Canadian English <adamw@gnome.org>
glade2,5902,0,0,1311,0,0,5902,5902,100.0,Canadian English <adamw@gnome.org>
glade3,3197,0,0,868,0,0,3193,3197,100.0,Canadian English <adamw@gnome.org>
glib-networking,4,0,0,1,0,0,4,4,100.0,Canadian English <nicolasd@git.gnome.org>
glib2,4777,0,0,747,0,0,4780,4777,100.0,Canadian English <adamw@gnome.org>
glom,1217,0,0,290,0,0,1213,1217,100.0,Canadian English <adamw@gnome.org>
gmpc,18,0,0,11,0,0,18,18,100.0,English (Canada) <en_CA@li.org>
gnome-backgrounds,18,0,0,9,0,0,19,18,100.0,Canadian English <adamw@gnome.org>
gnome-calculator,1399,0,0,433,0,0,1402,1399,100.0,Canadian English
gnome-chess,4224,0,0,899,0,0,4227,4224,100.0,Canadian English
gnome-commander,1068,540,6288,389,217,817,1071,7896,13.5258358662614,Canadian English <adamw@gnome.org>
gnome-contacts,309,0,0,145,0,0,310,309,100.0,English
