package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
GConf2,3715,0,317,474,0,7,3140,4032,92.13789682539682,Malayalam <en@li.org>
Miro,89,56,3471,71,5,573,100,3616,2.461283185840708,Malayalam <ml@li.org>
alacarte,42,0,0,16,0,0,46,42,100.0,Malayalam <en@li.org>
anaconda,10017,23,0,1254,4,0,8023,10040,99.77091633466135,<en@li.org>
anjuta,198,305,6566,162,203,1576,191,7069,2.80096194652709,Malayalam <locale@gnu.org.in>
atk,370,0,0,123,0,0,319,370,100.0,Malayalam
atomix,18,0,107,10,0,34,18,125,14.399999999999999,Malayalam <locale@gnu.org.in>
authconfig,1292,0,0,237,0,0,1131,1292,100.0,<en@li.org>
balsa,1447,1125,2776,559,328,400,1308,5348,27.056843679880327,Malayalam <locale@gnu.org.in>
bittorrent,17,0,3889,7,0,627,21,3906,0.4352278545826933,LANGUAGE <LL@li.org>
bug-buddy,982,0,0,89,0,0,739,982,100.0,Malayalam <en@li.org>
cheese,304,0,0,59,0,0,237,304,100.0,<en@li.org>
chkconfig,430,0,0,88,0,0,365,430,100.0,Malayalam <en@li.org>
compiz,66,0,0,11,0,0,55,66,100.0,Malayalam
control-center,3724,0,0,857,0,0,3056,3724,100.0,Swathanthra|സ്വതന്ത്ര Malayalam|മലയാളം Computing|കമ്പ്യൂട്ടിങ്ങ് <smc-discuss@googlegroups.com>
dasher,443,0,0,173,0,0,452,443,100.0,Malayalam <en@li.org>
dbmail,457,0,0,39,0,0,333,457,100.0,സ്വതന്ത്ര മലയാളം കമ്പ്യൂട്ടിങ്ങ്|Swathanthra Malayalam Computing <smc-discuss@googlegroups.com>
deskbar-applet,958,0,164,221,0,10,837,1122,85.38324420677363,<en@li.org>
devhelp,273,0,0,62,0,0,233,273,100.0,Malayalam <en@li.org>
dia,169,320,5222,154,201,1691,178,5711,2.9592015408860095,Malayalam <en@li.org>
drgeo,39,2,1944,39,2,420,40,1985,1.964735516372796,Malayalam <locale@gnu.org.in>
eel2,157,0,78,46,0,6,140,235,66.80851063829788,Malayalam
ekiga,2531,0,2636,591,0,185,2194,5167,48.9839365202245,Malayalam <en@li.org>
empathy,4,60,879,4,37,150,5,943,0.4241781548250266,Malayalam <locale@gnu.org.in>
eog,552,0,473,201,0,47,579,1025,53.85365853658537,Malayalam <en@li.org>
epiphany,4244,0,0,917,0,0,3384,4244,100.0,Swathanthra|സ്വതന്ത്ര Malayalam|മലയാളം Computing|കമ്പ്യൂട്ടിങ്ങ് <smc-discuss@googlegroups.com>
evince,1002,0,0,292,0,0,960,1002,100.0,<en@li.org>
evolution,15643,537,3901,4317,112,339,14305,20081,77.89950699666352,Malayalam
evolution-data-server,4501,0,484,965,0,69,4153,4985,90.29087261785355,Malayalam
evolution-exchange,832,0,393,147,0,39,719,1225,67.91836734693878,Malayalam
evolution-webcal,180,0,0,29,0,0,126,180,100.0,Malayalam
file-roller,952,0,0,239,0,0,859,952,100.0,Malayalam
firestarter,12,32,1860,12,25,337,12,1904,0.6302521008403361,Malayalam <locale@gnu.org.in>
firstboot,604,0,0,52,0,0,482,604,100.0,<en@li.org>
gail,170,0,0,103,0,0,187,170,100.0,Malayalam
galeon,1759,3,3189,776,3,497,1498,4951,35.52817612603514,Malayalam <locale@gnu.org.in>
gcalctool,820,0,355,345,0,65,854,1175,69.7872340425532,<en@li.org>
gcompris,38,11,3468,37,11,491,44,3517,1.0804663065112312,Malayalam <locale@gnu.org.in>
gconf-editor,232,0,97,82,0,16,263,329,70.51671732522796,Malayalam
gdm,5685,0,1874,879,0,95,4701,7559,75.20836089429818,Malayalam <en@li.org>
gedit,4588,0,392,1053,0,39,3842,4980,92.1285140562249,"Malayalam <en@li.org>
"
