package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
Democracy,1442,32,1628,275,13,280,1468,3102,46.48613797549967,Danish <da@li.org>
Django,1776,0,3,396,0,3,1709,1779,99.83136593591905,Dansk <dansk@klid.dk>
GConf2,3954,0,0,461,0,0,3756,3954,100.0,Danish <dansk@klid.dk>
LabPlot,0,0,3101,0,0,1279,0,3101,0.0,LANGUAGE <LL@li.org>
Miro,3522,35,59,641,5,3,3463,3616,97.4004424778761,Danish <da@li.org>
NetworkManager,731,0,0,157,0,0,665,731,100.0,Danish <dansk@dansk-gruppen.dk>
NetworkManager-openvpn,360,0,0,80,0,0,301,360,100.0,Danish <dansk@klid.dk>
NetworkManager-vpnc,286,9,0,45,2,0,233,295,96.94915254237289,Danish <dansk@klid.dk>
ORBit,0,0,0,0,0,0,0,0,0.0,
WindowMaker,2238,0,179,381,0,3,2062,2417,92.594124948283,Danish <sslug-locale@sslug.dk>
a2ps,24,109,1348,1,26,152,22,1481,1.6205266711681297,Danish <da@li.org>
abiword,1556,1362,1867,521,537,498,1455,4785,32.51828631138976,Danish <dansk@klid.dk>
alacarte,45,0,0,17,0,0,38,45,100.0,Danish <dansk@dansk-gruppen.dk>
amarok,13255,0,0,2509,0,0,12419,13255,100.0,<dansk@dansk-gruppen.dk>
anaconda,10112,0,0,1238,0,0,9341,10112,100.0,<da@li.org>
anjuta,1033,3007,3029,380,948,613,963,7069,14.613099448295374,<dansk@klid.dk>
anjuta-gdl,1,18,680,1,10,116,1,699,0.14306151645207438,Danish <dansk@klid.dk>
apcupsd,0,0,647,0,0,103,0,647,0.0,LANGUAGE <LL@li.org>
apollon,717,54,793,155,26,78,706,1564,45.84398976982097,<en@li.org>
arm-gp2x-linux-binutils,10897,954,583,1965,14,28,10110,12434,87.63873250764034,Danish <dansk@klid.dk>
arm-gp2x-linux-gcc,10425,18722,11896,1750,2831,1511,9764,41043,25.400190044587383,Danish <dansk@klid.dk>
arm-gp2x-linux-glibc,6171,0,0,1235,0,0,5951,6171,100.0,Danish <dansk@klid.dk>
aspell,1030,68,628,193,11,89,906,1726,59.67555040556199,Danish <dansk@klid.dk>
at-spi,15,0,0,4,0,0,9,15,100.0,Danish <dansk@klid.dk>
atk,369,1,0,122,1,0,247,370,99.72972972972973,Danish <dansk@klid.dk>
atomix,125,0,0,44,0,0,121,125,100.0,Danish <dansk@kild.dk>
audacity,3045,989,1738,776,218,247,2965,5772,52.75467775467776,Dansk <henrik@fangorn.dk>
authconfig,1098,0,0,217,0,0,998,1098,100.0,<da@li.org>
autorun,303,4,0,39,1,0,273,307,98.69706840390879,Danish <dansk@klid.dk>
avr-binutils,10897,954,583,1965,14,28,10110,12434,87.63873250764034,Danish <dansk@klid.dk>
avr-gcc,10425,18722,11896,1750,2831,1511,9764,41043,25.400190044587383,Danish <dansk@klid.dk>
avr-gdb,4129,0,0,630,0,0,3858,4129,100.0,Danish <dansk@klid.dk>
balsa,1843,1901,1604,505,535,247,1787,5348,34.461480927449514,Danish <dansk@klid.dk>
