package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
CableSwig,1140,0,0,193,0,0,438,1140,100.0,Chinese (simplified) <translation-team-zh-cn@lists.sourceforge.net>
Django,3871,0,1185,1187,0,401,1701,5056,76.5625,Chinese (China) (http://www.transifex.net/projects/p/django/language/zh_CN/)
GConf2,4088,0,0,497,0,0,1124,4088,100.0,Chinese (simplified) <i18n-zh@googlegroups.com>
LabPlot,3211,0,39,1327,0,22,1488,3250,98.8,Chinese Simplified <kde-i18n-doc@kde.org>
NetworkManager,2567,0,0,569,0,0,976,2567,100.0,Chinese (simplified) <i18n-zh@googlegroups.com>
NetworkManager-l2tp,84,25,654,32,8,94,53,763,11.009174311926607,zh_CN <i18n-translation@lists.linux.net.cn>
NetworkManager-openconnect,141,0,0,33,0,0,69,141,100.0,Chinese (China) <i18n-zh@googlegroups.com>
NetworkManager-openswan,139,0,0,36,0,0,72,139,100.0,zh_CN <i18n-translation@lists.linux.net.cn>
NetworkManager-openvpn,756,0,0,136,0,0,330,756,100.0,Chinese (simplified) <i18n-zh@googlegroups.com>
NetworkManager-pptp,280,0,0,66,0,0,142,280,100.0,Chinese (simplified) <i18n-zh@googlegroups.com>
NetworkManager-vpnc,156,0,0,41,0,0,85,156,100.0,Chinese (simplified) <i18n-zh@googlegroups.com>
PackageKit,1578,0,0,370,0,0,423,1578,100.0,Chinese (China) <i18n-zh@googlegroups.com>
R,19016,280,205,3083,42,19,3765,19501,97.51294805394595,Chinese
Terminal,6200,0,0,653,0,0,1495,6200,100.0,Chinese (simplified) <xfce-i18n@xfce.org>
Thunar,5819,0,4720,819,0,152,1457,10539,55.21396716956068,Chinese (Simplified) <xfce-i18n@xfce.org>
WindowMaker,3974,0,0,722,0,0,1211,3974,100.0,chinese <zh@li.org>
Zim,2499,0,29,578,0,2,880,2528,98.85284810126582,Simplified Chinese <zh_CN@li.org>
abrt,1911,0,54,243,0,4,733,1965,97.25190839694656,Chinese (China) <trans-zh_cn@lists.fedoraproject.org>
accerciser,2099,0,0,317,0,0,463,2099,100.0,Chinese (China) <i18n-zh@googlegroups.com>
accountsservice,59,0,0,10,0,0,11,59,100.0,Chinese (China) <i18n-zh@googlegroups.com>
ailurus,8278,0,0,1253,0,0,3348,8278,100.0,none
aisleriot,21089,0,0,1390,0,0,2214,21089,100.0,Chinese (China) <i18n-zh@googlegroups.com>
akonadi-googledata,57,29,0,12,6,0,20,86,66.27906976744185,简体中文 <kde-china@kde.org>
alacarte,42,0,0,16,0,0,16,42,100.0,zh_CN <i18n-translation@lists.linux.net.cn>
alleyoop,342,0,0,87,0,0,127,342,100.0,zh_CN <i18n-translation@lists.linux.net.cn>
almanah,772,0,0,153,0,0,252,772,100.0,Chinese (simplified) <i18n-zh@googlegroups.com>
amarok,16281,3,0,2836,1,0,5080,16284,99.98157700810611,Chinese Simplified <kde-china@kde.org>
amide,575,730,4271,161,127,723,209,5576,10.312051649928264,zh_CN <i18n-translation@lists.linux.net.cn>
anaconda,8297,0,0,1028,0,0,2379,8297,100.0,Chinese (China) <trans-zh_cn@lists.fedoraproject.org>
anjuta,9335,0,12247,2128,0,460,2950,21582,43.25363729033454,Chinese/Simplified <i18n-translation@lists.linux.net.cn>
apper,2417,516,1314,590,73,103,668,4247,56.91076053684954,Chinese Simplified <kde-china@kde.org>
arandr,172,0,0,37,0,0,58,172,100.0,Chinese-China <LL@li.org>
arduino,3742,0,92,592,0,62,911,3834,97.60041731872717,Chinese
aria2,1878,0,3996,93,0,263,396,5874,31.971399387129722,Simplified Chinese <zh_CN@li.org>
arm-gp2x-linux-binutils,6168,0,3194,1004,0,443,2754,9362,65.88335825678274,Chinese (simplified) <i18n-translation@lists.linux.net.cn>
arm-gp2x-linux-gcc,34913,672,5458,5466,77,549,14232,41043,85.06444460687571,Chinese (simplified) <i18n-translation@lists.linux.net.cn>
arm-gp2x-linux-glibc,4388,6,1777,980,1,254,1615,6171,71.10678982336736,Chinese (simplified) <i18n-translation@lists.linux.net.cn>
askbot,4946,1077,2729,987,182,257,1169,8752,56.51279707495429,LANGUAGE <LL@li.org>
aspell,431,0,1295,97,0,196,139,1726,24.97103128621089,Chinese (simplified) <i18n-zh@googlegroups.com>
at-spi,61,0,0,7,0,0,22,61,100.0,Chinese (Simplified) <i18n-zh@googlegroups.com>
at-spi2-atk,7,0,0,1,0,0,3,7,100.0,Chinese (simplified) <i18n-zh@googlegroups.com>
