package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
GConf2,4032,0,0,481,0,0,3302,4032,100.0,Georgian <http://mail.gnome.org/mailman/listinfo/gnome-ge-list>
LabPlot,5223,0,7920,2197,0,1330,4957,13143,39.73978543711482,Georgian <kde-i18n-doc@kde.org>
ModemManager,147,0,0,19,0,0,126,147,100.0,
NetworkManager,2686,0,26690,845,0,1432,2450,29376,9.143518518518519,Georgian <http://mail.gnome.org/mailman/listinfo/gnome-ge-list>
NetworkManager-fortisslvpn,1,0,320,1,0,59,1,321,0.3115264797507788,Georgian <http://mail.gnome.org/mailman/listinfo/gnome-ge-list>
NetworkManager-l2tp,178,0,1084,43,0,148,148,1262,14.104595879556259,Georgian <http://mail.gnome.org/mailman/listinfo/gnome-ge-list>
NetworkManager-libreswan,5,42,418,3,12,61,4,465,1.0752688172043012,Georgian <http://mail.gnome.org/mailman/listinfo/gnome-ge-list>
NetworkManager-openconnect,274,0,9285,71,0,1531,246,9559,2.866408620148551,Georgian <ka@li.org>
NetworkManager-openvpn,281,2,1874,92,2,210,246,2157,13.027352804821513,
NetworkManager-pptp,584,0,0,129,0,0,412,584,100.0,Georgian <http://mail.gnome.org/mailman/listinfo/gnome-ge-list>
NetworkManager-ssh,16,37,233,4,14,51,8,286,5.594405594405594,Georgian <http://mail.gnome.org/mailman/listinfo/gnome-ge-list>
NetworkManager-sstp,157,4,717,58,1,90,143,878,17.88154897494305,
NetworkManager-vpnc,328,0,0,52,0,0,216,328,100.0,Georgian <http://mail.gnome.org/mailman/listinfo/gnome-ge-list>
PackageKit,356,0,0,142,0,0,300,356,100.0,Georgian (http://www.transifex.com/freedesktop/packagekit/language/ka/)
a2ps,160,0,4,26,0,1,143,164,97.5609756097561,Georgian <(nothing)>
abrt,321,0,3355,74,0,343,265,3676,8.732317736670293,Georgian <https://translate.fedoraproject.org/projects/abrt/abrt/ka/>
accountsservice,73,0,0,12,0,0,60,73,100.0,Georgian (http://www.transifex.com/freedesktop/accountsservice/language/ka/)
agenda,8,4,5,3,1,2,6,17,47.05882352941176,Georgian <ka@li.org>
aisleriot,64,995,928,34,263,252,58,1987,3.2209360845495723,Georgian <gnome@inet.ge>
akonadi-calendar-tools,760,0,0,166,0,0,671,760,100.0,Georgian <kde-i18n-doc@kde.org>
akonadi-import-wizard,394,0,0,84,0,0,346,394,100.0,Georgian <kde-i18n-doc@kde.org>
akonadiconsole,791,0,0,377,0,0,752,791,100.0,Georgian <kde-i18n-doc@kde.org>
akregator,1853,0,0,430,0,0,1528,1853,100.0,Georgian <kde-i18n-doc@kde.org>
alacarte,48,0,0,21,0,0,40,48,100.0,Georgian <(nothing)>
alligator,171,0,0,77,0,0,168,171,100.0,Georgian <kde-i18n-doc@kde.org>
alsa-utils,1986,455,23,363,6,3,1793,2464,80.60064935064936,Georgian <(nothing)>
anaconda,3566,0,5173,1134,0,315,3123,8739,40.8055841629477,Georgian <https://translate.fedoraproject.org/projects/anaconda/f38/ka/>
analitza,992,0,0,222,0,0,805,992,100.0,
android-tools,1086,0,5186,324,0,671,947,6272,17.315051020408163,Georgian <https://translate.fedoraproject.org/projects/selinux/gui/ka/>
angelfish,689,0,0,173,0,0,545,689,100.0,Georgian <kde-i18n-doc@kde.org>
appstream,865,0,5217,263,0,405,721,6082,14.222295297599475,Georgian <https://hosted.weblate.org/projects/appstream/translations/ka/>
arianna,128,0,0,65,0,0,126,128,100.0,Georgian <kde-i18n-doc@kde.org>
ark,1962,0,0,368,0,0,1543,1962,100.0,Georgian <kde-i18n-doc@kde.org>
arm-none-eabi-binutils-cs,660,0,12760,144,0,1838,611,13420,4.918032786885246,Georgian <(nothing)>
arm-none-eabi-gcc-cs,499,50,1147,106,7,154,446,1696,29.422169811320753,Georgian <(nothing)>
artikulate,329,0,0,144,0,0,307,329,100.0,Georgian <kde-i18n-doc@kde.org>
asunder,492,0,1,91,0,1,435,493,99.79716024340772,Georgian <(nothing)>
at-spi2-core,447,0,0,171,0,0,375,447,100.0,
atomix,168,0,0,43,0,0,134,168,100.0,
atril,1106,8,3251,363,2,370,919,4365,25.33791523482245,Georgian (https://www.transifex.com/mate/teams/13566/ka/)
audacity,3354,5875,9277,889,1807,1607,2940,18506,18.123851723765267,<en@li.org>
audiotube,234,0,0,93,0,0,226,234,100.0,Georgian <kde-i18n-doc@kde.org>
authselect,2026,0,0,351,0,0,1565,2026,100.0,Georgian <https://translate.fedoraproject.org/projects/authselect/master-application/ka/>
avogadro2,337,11,26,137,6,10,305,374,90.10695187165776,Georgian <https://hosted.weblate.org/projects/avogadro/avogadroapp/ka/>
avogadro2-libs,994,7,3611,624,7,758,981,4612,21.552471812662617,Georgian <https://hosted.weblate.org/projects/avogadro/avogadrolibs/ka/>
avr-binutils,1724,0,19967,406,0,2720,1626,21691,7.947996865059241,Georgian <(nothing)>
avr-gcc,499,50,1147,106,7,154,446,1696,29.422169811320753,Georgian <(nothing)>
axel,596,11,0,79,3,0,546,607,98.18780889621087,Georgian <(nothing)>
baloo-widgets,67,0,0,40,0,0,62,67,100.0,Georgian <kde-i18n-doc@kde.org>
balsa,422,0,6439,314,0,1328,403,6861,6.15070689403877,
baobab,299,0,0,81,0,0,259,299,100.0,
binutils,533,0,0,98,0,0,484,533,100.0,Georgian <(nothing)>
blender,48649,0,0,11697,0,0,41667,48649,100.0,LANGUAGE <LL@li.org>
blinken,134,0,0,47,0,0,122,134,100.0,Georgian <kde-i18n-doc@kde.org>
blivet-gui,1064,0,0,265,0,0,963,1064,100.0,Georgian <https://translate.fedoraproject.org/projects/blivet/blivet-gui/ka/>
