package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
abrt,0,0,2722,0,0,328,0,2722,0.0,Tibetan (http://www.transifex.com/projects/p/fedora/language/bo/)
console-setup,501,51,427,124,11,36,244,979,51.174668028600614,bo <translation-team-bo@lists.sourceforge.net>
deja-dup,0,0,1756,0,0,289,0,1756,0.0,Tibetan <bo@li.org>
entangle,0,0,757,0,0,185,0,757,0.0,Tibetan <trans-bo@lists.fedoraproject.org>
gnomebaker,0,0,1186,0,0,291,0,1186,0.0,Tibetan <bo@li.org>
initscripts,0,0,1003,0,0,158,0,1003,0.0,Tibetan <trans-bo@lists.fedoraproject.org>
libreoffice,397945,7058,126253,56753,3022,13644,101713,531256,74.90644811540952,LANGUAGE <LL@li.org>
libreport,0,0,3139,0,0,417,0,3139,0.0,Tibetan (http://www.transifex.com/projects/p/fedora/language/bo/)
libvirt,0,0,42975,0,0,6906,0,42975,0.0,Tibetan <trans-bo@lists.fedoraproject.org>
libvirt-sandbox,0,0,635,0,0,112,0,635,0.0,Tibetan <trans-bo@lists.fedoraproject.org>
lightdm,0,0,79,0,0,17,0,79,0.0,Tibetan <bo@li.org>
lightdm-gtk,0,0,57,0,0,19,0,57,0.0,Tibetan <bo@li.org>
liveusb-creator,0,0,480,0,0,52,0,480,0.0,Tibetan (http://www.transifex.com/projects/p/fedora/language/bo/)
nautilus,6259,823,321,1031,115,46,2219,7403,84.54680534918276,Tibetan <bo@li.org>
pootle,4,4,2416,4,4,451,4,2424,0.16501650165016502,LANGUAGE <LL@li.org>
pykickstart,0,0,343,0,0,36,0,343,0.0,Tibetan <trans-bo@lists.fedoraproject.org>
python-meh,0,0,83,0,0,20,0,83,0.0,Tibetan <trans-bo@lists.fedoraproject.org>
stellarium,0,0,11181,0,0,3145,0,11181,0.0,Tibetan <bo@li.org>
transmission,0,0,1809,0,0,494,0,1809,0.0,Tibetan <bo@li.org>
tuxpaint,61,30,1156,58,14,180,110,1247,4.891740176423416,LANGUAGE <LL@li.org>
vidalia,0,0,10377,0,0,1301,0,10377,0.0,LANGUAGE <LL@li.org>
