package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
elementary-capnet-assist,0,0,90,0,0,16,0,90,0.0,none
elementary-greeter,0,0,219,0,0,48,0,219,0.0,Acehnese <ace@li.org>
elementary-icon-theme,0,0,263,0,0,72,0,263,0.0,none
elementary-notifications,0,0,50,0,0,14,0,50,0.0,none
elementary-settings-daemon,0,0,26,0,0,4,0,26,0.0,none
elementary-shortcut-overlay,0,0,130,0,0,45,0,130,0.0,none
elementary-sideload,0,0,319,0,0,61,0,319,0.0,none
elementary-theme,0,0,63,0,0,10,0,63,0.0,none
gala,0,0,358,0,0,73,0,358,0.0,none
granite,0,0,498,0,0,118,0,498,0.0,none
iso-codes,0,241,745,0,182,240,0,986,0.0,Acehnese <https://hosted.weblate.org/projects/iso-codes/iso-3166-1/ace/>
onboard,0,0,2318,0,0,510,0,2318,0.0,Acehnese <ace@li.org>
pantheon-agent-geoclue2,0,0,101,0,0,18,0,101,0.0,none
pantheon-agent-polkit,0,0,56,0,0,16,0,56,0.0,none
po4a,0,0,2820,0,0,249,0,2820,0.0,none
