package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
GConf2,4035,0,0,484,0,0,4641,4035,100.0,Punjabi/Panjabi <punjabi-users@lists.sf.net>
Miro,73,0,3263,40,0,684,86,3336,2.188249400479616,Punjabi <pa@li.org>
NetworkManager,2459,0,0,529,0,0,2757,2459,100.0,Punjabi/Panjabi <punjabi-users@lists.sf.net>
NetworkManager-openconnect,53,0,0,16,0,0,51,53,100.0,Punjabi/Panjabi <kde-i18n-doc@kde.org>
NetworkManager-openvpn,233,5,0,69,1,0,243,238,97.89915966386555,Punjabi/Panjabi <kde-i18n-doc@kde.org>
NetworkManager-pptp,144,0,0,44,0,0,152,144,100.0,Punjabi/Panjabi <punjabi-users@lists.sf.net>
NetworkManager-vpnc,143,0,0,37,0,0,158,143,100.0,Punjabi/Panjabi <kde-i18n-doc@kde.org>
PackageKit,1584,0,0,370,0,0,1984,1584,100.0,Punjabi/Panjabi <punjabi-users@lists.sf.net>
Terminal,287,152,752,117,63,89,321,1191,24.09739714525609,Punjabi <fedora-trans-pa@redhat.com>
Thunar,2347,87,1431,570,21,94,2441,3865,60.72445019404916,Punjabi <xfce-i18n@xfce.org>
abrt,1552,47,32,275,7,5,1712,1631,95.15634580012262,Punjabi/Panjabi <kde-i18n-doc@kde.org>
accountsdialog,675,0,211,164,0,8,723,886,76.18510158013544,ਪੰਜਾਬੀ <punjabi-users@lists.sf.net>
alacarte,42,0,0,16,0,0,44,42,100.0,Punjabi <punjabi-l10n@lists.sf.net>
alleyoop,89,0,257,43,0,45,95,346,25.722543352601157,Punjabi <punlinux-i18n@lists.sourceforge.>
amarok,5662,849,5442,1635,188,435,6247,11953,47.36886137371371,Punjabi/Panjabi <punjabi-users@lists.sf.net>
anaconda,9752,0,0,1202,0,0,10750,9752,100.0,Punjabi/Panjabi <kde-i18n-doc@kde.org>
anerley,5,0,0,5,0,0,5,5,100.0,Punjabi Users <punjabi-users@lists.sf.net>
anjal,506,0,236,165,0,21,540,742,68.19407008086253,Punjabi/Panjabi <punjabi-users@lists.sf.net>
anjuta,1089,979,5001,548,474,919,1164,7069,15.405290705898997,Punjabi <fedora-trans-pa@redhat.com>
at-spi,61,0,0,7,0,0,67,61,100.0,Punjabi/Panjabi <kde-i18n-doc@kde.org>
atk,375,0,0,126,0,0,397,375,100.0,Punjabi/Panjabi <punjab-l10n@list.sf.net>
atomix,146,0,0,59,0,0,170,146,100.0,Punjabi <fedora-trans-pa@redhat.com>
authconfig,1325,0,0,239,0,0,1442,1325,100.0,Punjabi/Panjabi <kde-i18n-doc@kde.org>
balsa,437,231,4680,243,68,976,483,5348,8.171278982797308,Punjabi <fedora-trans-pa@redhat.com>
banshee,2318,1106,1967,858,225,328,2625,5391,42.997588573548505,Punjabi/Panjabi <punjab-l10n@lists.sf.net>
beagle,948,0,321,318,0,38,1010,1269,74.70449172576832,Punjabi <punjabi-l10n@lists.sf.net>
bisho,143,0,0,26,0,0,158,143,100.0,Punjabi/Panjabi <kde-i18n-doc@kde.org>
blam,67,0,0,26,0,0,60,67,100.0,KBST Punjab <kbstpunjab@netscpe.net>
bognor-regis,27,0,0,3,0,0,29,27,100.0,Punjabi/Panjabi <punjabi-users@lists.sf.net>
brasero,5408,0,0,986,0,0,5860,5408,100.0,Punjabi/Panjabi <kde-i18n-doc@kde.org>
camorama,559,0,0,133,0,0,665,559,100.0,Punjabi
ccsm,498,5,46,121,3,11,551,549,90.7103825136612,Punjabi/Panjabi <punjabi-users@llist.sf.net>
cheese,651,0,0,120,0,0,684,651,100.0,Punjabi/Panjabi <kde-i18n-doc@kde.org>
chkconfig,448,0,0,90,0,0,514,448,100.0,Punjabi <Punjabi-users@lists.sourceforge.net>
choqok,931,11,912,332,4,119,1085,1854,50.215749730312844,Punjabi/Panjabi <punjabi-users@lists.sf.net>
compiz,1506,1448,296,273,386,58,1660,3250,46.33846153846154,American English <punjabi-users@llist.sf.net>
conduit,576,0,0,219,0,0,648,576,100.0,Punjabi Open Source Team <punjabi-users@lists.sf.net>
conglomerate,2421,425,3471,373,215,550,2576,6317,38.325154345417126,Punjabi
contact-lookup-applet,147,0,102,42,0,12,161,249,59.036144578313255,Punjabi <fedora-trans-pa@redhat.com>
control-center,3380,0,100,799,0,2,3630,3480,97.12643678160919,Punjabi <fedora-trans-pa@redhat.com>
cracklib,93,0,0,15,0,0,97,93,100.0,Punjabi/Panjabi <punjabi-users@lists.sf.net>
dalston,266,0,0,56,0,0,270,266,100.0,Punjabi/Panjabi <punjabi-users@lists.sf.net>
dasher,526,0,0,198,0,0,558,526,100.0,Punjabi/Panjabi <punjab-l10n@list.sf.net>
dates,157,0,82,69,0,3,172,239,65.69037656903765,Punjabi/Panjabi <punjab-l10n@list.sf.net>
deskbar-applet,1670,0,0,356,0,0,1786,1670,100.0,Punjabi/Panjabi <kde-i18n-doc@kde.org>
desktop-effects,148,0,0,25,0,0,181,148,100.0,Punjabi <Punjabi-users@lists.sourceforge.net>
devhelp,222,0,0,53,0,0,240,222,100.0,Punjab <punlinux-i18n@lists.sourceforge.>
dia,974,0,3396,508,0,1145,1042,4370,22.2883295194508,Punjabi <pa@li.org>
digikam,7063,3241,13349,2106,432,759,7551,23653,29.860905593370816,Punjabi/Panjabi <punjabi-users@lists.sf.net>
dpkg,721,1426,5457,140,115,710,797,7604,9.481851657022618,Punjabi <fedora-trans-pa@redhat.com>
ekiga,4043,0,0,667,0,0,4184,4043,100.0,Punjabi <punjabi-users@lists.sf.net>
emerald,774,0,0,215,0,0,842,774,100.0,Gist Punjabi team <info.gist@cdac.in>
empathy,3253,0,0,721,0,0,3409,3253,100.0,Punjabi/Panjabi <punjab-l10n@lists.sf.net>
eog,2980,0,1820,479,0,60,3091,4800,62.083333333333336,Punjabi <punjabi-users@lists.sf.net>
eog-plugins,80,0,0,28,0,0,82,80,100.0,Punjabi/Panjabi <punjabi-users@lists.sf.net>
epiphany,3073,0,0,741,0,0,3234,3073,100.0,Punjabi/Panjabi <kde-i18n-doc@kde.org>
epiphany-extensions,150,0,8,32,0,2,158,158,94.9367088607595,Punjabi <pa@li.org>
evince,1392,0,0,333,0,0,1542,1392,100.0,Punjabi/Panjabi <kde-i18n-doc@kde.org>
evolution,22130,0,0,4736,0,0,23860,22130,100.0,Punjabi/Panjabi <kde-i18n-doc@kde.org>
evolution-data-server,4907,0,0,996,0,0,6021,4907,100.0,Punjabi/Panjabi <kde-i18n-doc@kde.org>
evolution-exchange,2204,0,0,361,0,0,2452,2204,100.0,Punjabi/Panjabi <kde-i18n-doc@kde.org>
evolution-mapi,341,0,0,67,0,0,414,341,100.0,Punjabi/Panjabi <kde-i18n-doc@kde.org>
evolution-rss,469,0,365,183,0,28,562,834,56.23501199040767,Punjabi/Panjabi <punjabi-users@lists.sf.net>
exo,948,99,551,238,9,54,998,1598,59.32415519399249,Punjabi <punjabi-l10n@lists.sf.net>
f-spot,1574,136,1614,632,33,160,1630,3324,47.352587244283995,Punjabi/Panjabi <punjab-users@lists.sf.net>
file-roller,1370,0,0,297,0,0,1434,1370,100.0,Punjabi/Panjabi <kde-i18n-doc@kde.org>
firstboot,654,0,0,54,0,0,685,654,100.0,Punjabi <Punjabi-users@lists.sourceforge.net>
galeon,234,1014,4054,131,177,1013,242,5302,4.413428894756696,Punjabi <fedora-trans-pa@redhat.com>
gcalctool,1327,0,0,267,0,0,1411,1327,100.0,Punjabi/Panjabi <punjab-l10n@lists.sf.net>
gcompris,475,0,10039,239,0,978,465,10514,4.517785809396995,Punjabi/Panjabi <punjab-l10n@list.sf.net>
gconf-editor,336,0,0,98,0,0,365,336,100.0,Punjabi/Panjabi <punjab-l10n@list.sf.net>
gdesklets,113,0,1415,51,0,153,130,1528,7.395287958115183,Punjabi <fedora-trans-pa@redhat.com>
gdm,1312,0,0,235,0,0,1457,1312,100.0,Punjabi/Panjabi <kde-i18n-doc@kde.org>
gedit,5004,0,0,1108,0,0,5358,5004,100.0,Punjabi/Panjabi <kde-i18n-doc@kde.org>
gedit-plugins,230,0,0,63,0,0,241,230,100.0,Punjabi/Panjabi <punjabi-users@lists.sf.net>
genius,70,0,5055,35,0,713,77,5125,1.3658536585365855,Punjabi <fedora-trans-pa@redhat.com>
gftp,2988,0,387,605,0,29,3282,3375,88.53333333333333,Panjabi <punjabi-l10n@users.sf.net>
ggz-base-libs,74,0,0,17,0,0,92,74,100.0,Punjabi <punjabi-l10n@lists.sf.net>
ggz-gtk-client,773,0,0,244,0,0,865,773,100.0,Punjabi <punjabi-l10n@lists.sf.net>
ghex,247,0,717,128,0,144,268,964,25.622406639004147,Punjabi <fedora-pa-list@redhat.com>
giggle,188,0,327,95,0,64,204,515,36.50485436893204,ਪੰਜਾਬੀ <punjabi-users@lists.sf.net>
gimp,25101,62,574,6597,2,41,26748,25737,97.52884951626064,Punjabi/Panjabi <punjabi-l10n@lists.sf.net>
gitg,254,92,694,101,9,63,290,1040,24.423076923076923,Punjabi/Panjabi <punjabi-users@lists.sf.net>
glade2,707,49,5084,313,15,972,716,5840,12.106164383561643,Punjabi <fedora-pa-list@redhat.com>
glade3,891,0,1993,480,0,294,930,2884,30.894590846047155,Punjabi <fedora-trans-pa@redhat.com>
glib2,2519,0,4,414,0,1,2949,2523,99.8414585810543,Punjabi/Panjabi <kde-i18n-doc@kde.org>
glom,61,5,209,41,3,16,63,275,22.181818181818183,Punjabi <fedora-trans-pa@redhat.com>
gnome-applet-netspeed,143,0,0,54,0,0,166,143,100.0,Punjabi/Panjabi <punjab-l10n@list.sf.net>
gnome-applets,8227,0,3523,1328,0,178,8575,11750,70.01702127659574,Punjabi <fedora-trans-pa@redhat.com>
