package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
alacarte,42,0,0,16,0,0,43,42,100.0,Ido <gnome-ido@lists.mterry.name>
appcenter,0,0,765,0,0,181,0,765,0.0,LANGUAGE <LL@li.org>
deja-dup,29,0,2068,19,0,315,31,2097,1.3829279923700524,Ido <io@li.org>
dippi,0,0,397,0,0,53,0,397,0.0,none
duplicity,68,0,4310,56,0,562,72,4378,1.5532206486980358,Ido
elementary-calculator,0,0,80,0,0,37,0,80,0.0,LANGUAGE <LL@li.org>
elementary-calendar,0,0,484,0,0,184,0,484,0.0,LANGUAGE <LL@li.org>
elementary-capnet-assist,0,0,81,0,0,13,0,81,0.0,none
elementary-code,0,0,812,0,0,198,0,812,0.0,LANGUAGE <LL@li.org>
elementary-files,115,27,2676,23,10,515,114,2818,4.080908445706174,LANGUAGE <LL@li.org>
elementary-greeter,0,0,76,0,0,18,0,76,0.0,
elementary-music,0,0,1137,0,0,329,0,1137,0.0,LANGUAGE <LL@li.org>
elementary-photos,415,67,3293,131,18,644,440,3775,10.993377483443709,LANGUAGE <LL@li.org>
elementary-screenshot-tool,0,0,129,0,0,41,0,129,0.0,LANGUAGE <LL@li.org>
elementary-shortcut-overlay,0,0,82,0,0,37,0,82,0.0,none
elementary-terminal,0,0,286,0,0,66,0,286,0.0,
elementary-videos,0,0,150,0,0,52,0,150,0.0,
ephemeral,0,0,1809,0,0,207,0,1809,0.0,none
gdk-pixbuf2,299,117,932,57,25,120,276,1348,22.181008902077153,Ido <gnome-ido@lists.mterry.name>
gnome-menus,86,0,79,44,0,14,90,165,52.121212121212125,Ido <gnome-ido@lists.mterry.name>
granite,0,0,150,0,0,68,0,150,0.0,
gtk2,1168,467,12069,348,247,2189,1106,13704,8.523058960887333,Ido <gnome-ido@lists.mterry.name>
gtk3,782,378,10693,248,229,2010,739,11853,6.5974858685564834,Ido <gnome-ido@lists.mterry.name>
gtk4,782,378,10693,248,229,2010,739,11853,6.5974858685564834,Ido <gnome-ido@lists.mterry.name>
harvey,0,0,57,0,0,12,0,57,0.0,none
iso-codes,289,0,697,211,0,209,266,986,29.310344827586203,Ido <https://hosted.weblate.org/projects/iso-codes/iso-3166-1/io/>
isomaster,8,0,666,8,0,99,8,674,1.1869436201780417,http://littlesvr.ca/ostd/
lxmenu-data,52,0,45,29,0,8,55,97,53.608247422680414,Ido <gnome-ido@lists.mterry.name>
mingw-gdk-pixbuf,299,117,932,57,25,120,276,1348,22.181008902077153,Ido <gnome-ido@lists.mterry.name>
mingw-gtk2,1168,467,12069,348,247,2189,1106,13704,8.523058960887333,Ido <gnome-ido@lists.mterry.name>
mingw-gtk3,782,378,10693,248,229,2010,739,11853,6.5974858685564834,Ido <gnome-ido@lists.mterry.name>
nautilus,1283,44,6127,451,14,766,1212,7454,17.212235041588407,Ido <gnome-ido@lists.mterry.name>
nutty,0,0,608,0,0,152,0,608,0.0,
optimizer,0,0,282,0,0,75,0,282,0.0,none
pantheon-agent-geoclue2,0,0,99,0,0,17,0,99,0.0,LANGUAGE <LL@li.org>
pantheon-agent-polkit,0,0,20,0,0,10,0,20,0.0,LANGUAGE <LL@li.org>
python-django,1412,0,2046,405,0,366,1357,3458,40.83285135916715,Ido (http://www.transifex.com/django/django/language/io/)
python-django-formtools,5,0,27,3,0,8,5,32,15.625,Ido (http://www.transifex.com/projects/p/django-formtools/language/io/)
python2-django1.11,1433,0,1948,407,0,352,1378,3381,42.383910085773444,Ido (http://www.transifex.com/django/django/language/io/)
sequeler,0,0,1352,0,0,275,0,1352,0.0,
switchboard,0,0,61,0,0,18,0,61,0.0,LANGUAGE <LL@li.org>
switchboard-plug-a11y,0,0,182,0,0,65,0,182,0.0,LANGUAGE <LL@li.org>
switchboard-plug-about,0,0,94,0,0,28,0,94,0.0,LANGUAGE <LL@li.org>
switchboard-plug-applications,0,0,86,0,0,32,0,86,0.0,none
switchboard-plug-bluetooth,0,0,74,0,0,28,0,74,0.0,none
switchboard-plug-display,0,0,113,0,0,47,0,113,0.0,LANGUAGE <LL@li.org>
switchboard-plug-keyboard,0,0,404,0,0,157,0,404,0.0,none
switchboard-plug-mouse-touchpad,0,0,150,0,0,51,0,150,0.0,none
switchboard-plug-networking,0,0,444,0,0,129,0,444,0.0,
switchboard-plug-notifications,0,0,139,0,0,20,0,139,0.0,none
switchboard-plug-pantheon-shell,0,0,153,0,0,59,0,153,0.0,
switchboard-plug-printers,0,0,336,0,0,138,0,336,0.0,LANGUAGE <LL@li.org>
switchboard-plug-sharing,0,0,130,0,0,28,0,130,0.0,none
switchboard-plug-sound,0,0,131,0,0,46,0,131,0.0,
sympa,0,0,22700,0,0,2876,0,22700,0.0,Ido <LL@li.org>
vocal,0,0,377,0,0,79,0,377,0.0,Ido <io@li.org>
wingpanel,0,0,6,0,0,1,0,6,0.0,none
wingpanel-applications-menu,0,0,222,0,0,73,0,222,0.0,
wingpanel-indicator-bluetooth,0,0,15,0,0,9,0,15,0.0,none
wingpanel-indicator-datetime,0,0,14,0,0,4,0,14,0.0,
wingpanel-indicator-keyboard,0,0,10,0,0,4,0,10,0.0,
wingpanel-indicator-network,0,0,76,0,0,22,0,76,0.0,none
wingpanel-indicator-nightlight,0,0,16,0,0,6,0,16,0.0,
wingpanel-indicator-notifications,0,0,16,0,0,7,0,16,0.0,none
wingpanel-indicator-power,0,0,93,0,0,27,0,93,0.0,none
wingpanel-indicator-session,0,0,57,0,0,18,0,57,0.0,none
wingpanel-indicator-sound,0,0,14,0,0,6,0,14,0.0,none
