package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
abattis-cantarell-fonts,27,0,0,3,0,0,16,27,100.0,
android-tools,0,0,7678,0,0,1078,0,7678,0.0,Lao (http://www.transifex.com/projects/p/fedora/language/lo/)
blueberry,32,0,134,12,0,25,16,166,19.27710843373494,Lao <lo@li.org>
bookworm,0,0,795,0,0,149,0,795,0.0,
calamares,0,0,490,0,0,85,0,490,0.0,Lao (https://www.transifex.com/calamares/teams/20061/lo/)
cheese,628,0,0,130,0,0,188,628,100.0,Saikeo (kavhanxay@hotmail.com)
cinnamon-control-center,0,0,1313,0,0,756,0,1313,0.0,none
cinnamon-desktop,207,1,26,22,1,9,114,234,88.46153846153845,Lao <lo@li.org>
cinnamon-translations,2788,0,16351,878,0,3496,1361,19139,14.567114269293066,Lao <lo@li.org>
clamtk,46,0,418,32,0,108,32,464,9.913793103448276,Lao <lo@li.org>
coin,0,0,252,0,0,50,0,252,0.0,none
console-setup,944,30,10,169,4,6,288,984,95.9349593495935,Lao <lo@li.org>
dippi,0,0,1183,0,0,205,0,1183,0.0,none
elementary-capnet-assist,0,0,90,0,0,16,0,90,0.0,none
elementary-code,0,0,1608,0,0,307,0,1608,0.0,LANGUAGE <LL@li.org>
elementary-files,0,0,3669,0,0,664,0,3669,0.0,LANGUAGE <LL@li.org>
elementary-greeter,0,0,219,0,0,48,0,219,0.0,LANGUAGE <LL@li.org>
elementary-icon-theme,0,0,263,0,0,72,0,263,0.0,none
elementary-mail,0,0,658,0,0,153,0,658,0.0,
elementary-music,0,0,1205,0,0,354,0,1205,0.0,LANGUAGE <LL@li.org>
elementary-notifications,0,0,50,0,0,14,0,50,0.0,none
elementary-photos,0,0,4011,0,0,818,0,4011,0.0,LANGUAGE <LL@li.org>
elementary-screenshot-tool,0,0,248,0,0,60,0,248,0.0,LANGUAGE <LL@li.org>
elementary-settings-daemon,0,0,26,0,0,4,0,26,0.0,none
elementary-shortcut-overlay,0,0,130,0,0,45,0,130,0.0,none
elementary-sideload,0,0,319,0,0,61,0,319,0.0,none
elementary-tasks,0,0,394,0,0,79,0,394,0.0,none
elementary-terminal,0,0,696,0,0,126,0,696,0.0,
elementary-theme,0,0,63,0,0,10,0,63,0.0,none
elementary-videos,0,0,391,0,0,96,0,391,0.0,
feedreader,0,0,1374,0,0,317,0,1374,0.0,
filezilla,7101,0,0,1336,0,0,2224,7101,100.0,
gala,0,0,358,0,0,73,0,358,0.0,none
gnome-control-center,0,0,1313,0,0,756,0,1313,0.0,none
gnome-desktop3,146,0,0,23,0,0,97,146,100.0,Lao <lo@li.org>
